ORION, AGUSTIN
SARA, GUILLERMO
TRIPODI, EMANUEL
BRAVO, FEDERICO
BURDISSO, GUILLERMO
DIAZ, DANIEL
KOMAR, JUAN
MAGALLAN, LISANDRO
MARIN, LUCAS
MONZON, LUCIANO
PERUZZI, GINO
ROLIN, GERMAN
TORSIGLIERI, MARCO
BETANCUR, RODRIGO
CARRIZO, FEDERICO
CASTELLANI, GONZALO
COLAZO, NICOLAS
CRISTALDO, FRANCO
CUBAS, ADRIAN
ERBES, CRISTIAN
FUENZALIDA, JOSE
GAGO, FERNANDO
LODEIRO, MARCELO
MELI, CESAR
PEREZ, PABLO
POCCHETINO, TOMAS
CALLERI, JONATHAN
CHAVEZ, ANDRES
DALLA COSTA, MAURO
MARTINEZ, JUAN
OSVALDO, PABLO DANIEL
PALACIOS, SEBASTIAN
PAVON, CRISTIAN DAVID
VADALA, GUIDO NAHUEL
GOMEZ, GASTON
IBAÑEZ, NELSON MARTIN
MUSSO, JUAN AGUSTIN
SAJA, SEBASTIAN DIEGO
BAZAN, MAURO EZEQUIEL
CABRAL, YONATHAN
CAMPI, GASTON
DIAZ, RICARDO
GRIMI, LEANDRO
LOLLO, MAURICIO
PILLUD, IVAN ALEXIS
SANCHEZ, NICOLAS
VOBORIL, GERMAN ARIEL
ACEVEDO, NELSON
ACUÑA, MARCOS
ALVARADO, PABLO
AUED, LUCIANO
BAREIRO, LUCAS
RESCALDANI, EZEQUIEL
CERRO, FRANCISCO
NAGUEL, CARLOS
OROZ, NICOLAS
ROLHEISER, LEONARDO
ROMERO, OSCAR
VALENZUELA, CARLOS 
VIDELA, EZEQUIEL
BOU, GUSTAVO
CASTILLON, FACUNDO
CASTRO, FACUNDO
FERNANDEZ, BRIAN
MILITO, DIEGO ALBERTO
NUÑEZ, CARLOS RODRIGO
DAFFONCHIO, FACUNDO 
MONTOYA, MARCELO GERMAN
REHAK, GONZALO
RODRIGUEZ, DIEGO MARTIN
AGUILERA, VICTOR EMANUEL
BARRIOS, RAFAEL VICTORIANO
BREITENBRUCH, NESTOR
CUESTA, VICTOR LEANDRO
FIGAL, JORGE NICOLAS
ONRAITA, FACUNDO
PAPA, EMILIANO RAMIRO
REAL, FEDERICO NICOLAS
TAGLIAFICO, NICOLAS 
TOLEDO, GUSTAVO ARIEL
TULA, CRISTIAN ALBERTO
VALLES, GABRIEL GUSTAVO
VICTORINO, MAURICIO 
